,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model
10,10,117.13869833946228,4.98137782272802,23.087250185012817,0.7644332227386764,10,1.0,poly,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8095259812701333,0.8086708874304377,0.8200632338511539,0.8218247257428577,0.8116154770136627,0.814340061061649,0.0055047827260138,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
11,11,1595.468775129318,19.95401249269637,71.22985172271729,3.454560366982829,10,1.0,sigmoid,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",7.162853442049532e-05,7.403035655898677e-05,7.215343427799216e-05,0.0009634343589125,5.516476712945804e-05,0.0002472822902598,0.0003581406200916,27,6.777744770320978e-05,7.156441330123594e-05,6.904368865203371e-05,0.0026119984480547,6.559571974262905e-05,0.0005771959434907,0.0010174030847003,1,svc
12,12,264.1558395862579,3.9141186430389374,38.90498962402344,1.0740978412667082,10,0.1,rbf,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7566251089454117,0.7556778571533463,0.7718551312557905,0.7841258388343056,0.7673920215006403,0.7671351915378989,0.0105143543351129,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
13,13,118.41892833709716,2.0408520348742054,22.872065162658693,0.798084260221541,10,0.1,poly,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8119116063902458,0.8083430157221908,0.8219196457160257,0.8247187923617905,0.8156814445614029,0.8165149009503313,0.006085717358116,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
14,14,914.9309655666352,20.128202466436704,71.5805781841278,0.4928556706040289,10,0.1,sigmoid,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.0019598221562608,0.0030443682876392,6.837415581226944e-05,0.0010909608707191,0.0016525793391613,0.0015632209619185,0.0009814959393591,24,0.0018041893641028,0.0021360870434188,8.693527866379918e-05,0.0024498057340648,0.0013772837022218,0.0015708602244944,0.0008229184853737,1,svc
15,15,91.7753734111786,3.273359237786862,28.33858704566956,1.1532296418196584,10,0.01,rbf,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8256172272869502,0.8273300490100217,0.8304197718828078,0.8391790970021796,0.8324752122502601,0.8310042714864438,0.0047297618279058,1,0.9761005442458642,0.9783670700398468,0.9756289438163296,0.975390766418982,0.974684476278052,0.9760343601598148,0.0012527312183139,1,svc
16,16,198.99414625167847,4.292247266282509,38.91312136650085,0.1476629387748478,10,0.01,poly,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.7838031026256699,0.7712230227394329,0.7859653473131953,0.7834537834847785,0.7943099967052949,0.7837510505736743,0.0073950931301086,11,0.905441409419216,0.9079965795892084,0.905858735206474,0.908937711196937,0.9086399467393078,0.9073748764302288,0.0014468136788041,1,svc
17,17,107.21133179664612,3.4729437083270778,23.75455708503723,0.1955082769026012,10,0.01,sigmoid,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.7261592594784934,0.7319377344490534,0.7437144756978175,0.7187870809427827,0.7298877577532127,0.7300972616642719,0.0081521506262286,16,0.7964658529028997,0.8294985970845977,0.8256830501474652,0.8011997806124751,0.8019030926031474,0.810950074670117,0.0137682028537432,1,svc
18,18,1451.807854270935,27.78037211213343,58.90589828491211,5.002418860652911,100,1.0,rbf,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1488356330509007,0.1518382851100076,0.153617045690632,0.1557435556059229,0.1495817881150864,0.1519232615145099,0.0025489888182958,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
19,19,117.06496500968932,5.975121365016441,23.140023136138915,0.4628278622855792,100,1.0,poly,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8109229186377065,0.8102577762904236,0.8171951219164396,0.8260337823116987,0.815541422811934,0.8159902043936406,0.0056756463144169,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
20,20,1599.139694070816,19.673843248594803,70.8264018535614,3.792630437545196,100,1.0,sigmoid,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",7.962892918997472e-05,7.296488767460902e-05,7.315556530963093e-05,0.0018859206142678,5.548394610995634e-05,0.0004334307885104,0.0007262892216446,26,0.0002986033845253,7.082126295407542e-05,7.010377198914771e-05,0.0025596359190683,6.606256503392158e-05,0.0006130453807141,0.0009773506308374,1,svc
21,21,261.2698956012726,3.239948931797338,39.17626438140869,1.3876314164521373,100,0.1,rbf,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7580365525414028,0.7575362785884149,0.7713199374572741,0.7831297446210322,0.7655419350818351,0.7671128896579917,0.009495242676254,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
22,22,119.0592495918274,3.9901641118930535,23.149601221084595,0.6017896861642624,100,0.1,poly,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8070356203815036,0.8040019440685726,0.8270438962276612,0.8228978174742357,0.8173799327621077,0.8156718421828162,0.0088907452391398,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,svc
23,23,884.38996925354,28.601672088117592,71.67341990470887,0.572237681800075,100,0.1,sigmoid,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.0027169286646614,0.0023461984999956,0.0005823518227401,0.0012621218082662,0.0030156390664398,0.0019846479724206,0.0009185178257891,23,0.002792959594862,0.0018294927010717,0.0006042656822413,0.0019632431059411,0.0027066674702292,0.0019793257108691,0.0007879752274566,1,svc
24,24,87.53925318717957,1.0784923319906712,23.30035009384155,0.7311075925187764,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.820662710413899,0.8164864595936139,0.8188766510045768,0.8261745910186161,0.8263641279699713,0.8217129080001355,0.0039497719991468,2,1.0,0.9998811272922018,1.0,0.9998811594786816,0.999881141420168,0.9999286856382102,5.822793346632571e-05,1,svc
25,25,127.60743041038512,2.253421461567744,25.9579261302948,0.1961975154188992,100,0.01,poly,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.808998054546079,0.8087850821404744,0.8229538022608557,0.8303948767524826,0.8185336991723171,0.8179331029744418,0.0082992206671283,3,0.993586266900048,0.9940622108995728,0.9924041808451696,0.9932304153525132,0.9928777024745769,0.993232155294376,0.0005701874874794,1,svc
26,26,72.15728607177735,1.114530936815075,14.532168197631837,0.5148053126219846,100,0.01,sigmoid,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.692717814978524,0.6741226237757832,0.6758544832665924,0.6717265605816292,0.7170935019164704,0.6863029969037998,0.017083386739672,17,0.7981055107774464,0.7889222394535255,0.814725393460242,0.7912319976678879,0.8484412328747074,0.8082852748467617,0.0220151997110358,1,svc
27,0,1450.6720592975616,14.655633131244285,57.77896223068237,4.469792271901651,1,1.0,rbf,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1455668760603805,0.147552928880423,0.1505993801569051,0.1506508390668429,0.1456006232891857,0.1479941294907474,0.0022654150143373,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
28,1,123.73415660858154,2.566658353749302,24.3190128326416,0.3746102771053396,1,1.0,poly,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8091949298603122,0.8158788960437741,0.8064283772652425,0.8182821451214694,0.8165708706910637,0.8132710437963724,0.0046095049071583,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
29,2,1602.554932451248,21.08015449693332,72.06163258552552,1.8291155608536616,1,1.0,sigmoid,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",0.0038046001046601,6.776343033542899e-05,0.0012372361098581,0.0007251545411317,0.0012996263077615,0.0014268760987494,0.0012684894696327,23,0.0041024305998018,6.750354459530556e-05,0.0015183433968294,0.0007566232220336,0.001246018885009,0.0015381839296538,0.0013736704830571,2,svc
30,3,251.63062539100648,0.9127498196792706,42.25701580047608,1.0661410199365948,1,0.1,rbf,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.748243528357317,0.7601322114057519,0.7394132589295779,0.7656598276387809,0.7589387433369095,0.7544775139336675,0.0094097467137336,14,0.992397308142316,0.9940596680541204,0.992396555128398,0.993345709014866,0.9923943205406748,0.992918712176075,0.0006787640756729,2,svc
31,4,123.8490177154541,4.234771000980498,23.97892541885376,0.8312647845408655,1,0.1,poly,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8082323477807418,0.8153757837652139,0.8107906585160208,0.8154942807938077,0.8137205391990326,0.8127227220109635,0.0028146844929889,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
32,5,1019.9106421470642,31.99401444026054,71.0028878211975,3.1850860081730747,1,0.1,sigmoid,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",1.4357261304548622e-05,0.0001195961142862,0.0001516122585402,0.0002645343246199,0.0001742909484269,0.0001448781814355,8.112082934671572e-05,27,0.0001527765945443,0.0002376921897332,0.0001803052824531,0.0003325155101333,0.0001196309129881,0.0002045840979704,7.477046728616924e-05,2,svc
33,6,178.6812554359436,3.4401848534864983,51.3230963230133,1.456880619130207,1,0.01,rbf,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.7869751057936557,0.8110088689591142,0.7791948404939198,0.8062927081322648,0.7939446911484724,0.7954832429054853,0.011814882094967,10,0.8720056874283463,0.8659701162840463,0.8707150619895858,0.8690508948607409,0.8689370823011126,0.8693357685727664,0.0020297111187869,2,svc
34,7,408.99057512283326,17.26991914370587,53.58147010803223,0.2390843895521172,1,0.01,poly,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.5928748151661145,0.6232077270496875,0.6093640310316448,0.6109093277880172,0.609755379844493,0.6092222561759915,0.0096538360739151,18,0.6588412540454324,0.6506177142064263,0.6528877537449456,0.6471925019008663,0.652311581334078,0.6523701610463497,0.0037954078184214,2,svc
35,8,244.3431666851044,0.5398531820997372,48.08445572853088,0.4557679334867118,1,0.01,sigmoid,"{'model__C': 1, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.7510506561600425,0.7603536088837576,0.7288275375283233,0.7675394586274868,0.7508352808681116,0.7517213084135443,0.013039095460961,15,0.7919337217779981,0.7903453964561981,0.7911724012290976,0.7939099436950977,0.7868236266942292,0.7908370179705242,0.0023283949377282,2,svc
36,9,1390.0296833992004,42.62911542709063,57.98215265274048,3.6639356345603775,10,1.0,rbf,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1504346972220813,0.149625998800518,0.1535976883267612,0.1508895227473196,0.1496829019165393,0.1508461618026439,0.0014549263074038,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
